role,container,ipv6,mac
router,clab-ipv6-research-router,2001:db8::1,aa:c1:ab:36:e8:c9
attacker,clab-ipv6-research-attacker,2001:db8::100,aa:c1:ab:68:a5:ec
victim,clab-ipv6-research-victim,2001:db8::2,aa:c1:ab:ac:9c:cb
victim,clab-ipv6-research-victim2,2001:db8::3,aa:c1:ab:0a:78:ec
victim,clab-ipv6-research-victim3,2001:db8::4,aa:c1:ab:6d:43:6b
victim,clab-ipv6-research-victim4,2001:db8::5,aa:c1:ab:54:e2:5b
victim,clab-ipv6-research-victim5,2001:db8::6,aa:c1:ab:fb:ac:d9
victim,clab-ipv6-research-victim6,2001:db8::7,aa:c1:ab:0b:ee:58
victim,clab-ipv6-research-victim7,2001:db8::8,aa:c1:ab:96:57:e6
victim,clab-ipv6-research-victim8,2001:db8::9,aa:c1:ab:cc:f1:a4
victim,clab-ipv6-research-victim9,2001:db8::a,aa:c1:ab:b9:a5:1e
victim,clab-ipv6-research-victim10,2001:db8::b,aa:c1:ab:d2:79:4f
victim,clab-ipv6-research-victim11,2001:db8::c,aa:c1:ab:d5:d7:11
victim,clab-ipv6-research-victim12,2001:db8::d,aa:c1:ab:ee:8e:cc
victim,clab-ipv6-research-victim13,2001:db8::e,aa:c1:ab:dd:2e:0a
victim,clab-ipv6-research-victim14,2001:db8::f,aa:c1:ab:21:40:e8
victim,clab-ipv6-research-victim15,2001:db8::10,aa:c1:ab:f7:8d:a1
victim,clab-ipv6-research-victim16,2001:db8::11,aa:c1:ab:25:a1:fd
victim,clab-ipv6-research-victim17,2001:db8::12,aa:c1:ab:e4:3a:57
victim,clab-ipv6-research-victim18,2001:db8::13,aa:c1:ab:7a:d3:32
victim,clab-ipv6-research-victim19,2001:db8::14,aa:c1:ab:38:d2:07
victim,clab-ipv6-research-victim20,2001:db8::15,aa:c1:ab:9b:d0:54
